time,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11
191,38.32,27.72,12.06,9.06,12.91,2.76,3.78,1.55,5.04,8.37,-0.90
192,39.79,27.67,11.65,9.22,13.22,3.07,3.46,2.12,5.03,8.75,-1.05
193,41.64,27.91,11.30,10.14,14.25,2.47,4.02,3.04,5.17,9.79,-0.11
194,42.40,30.49,11.86,10.06,14.46,3.20,4.32,2.89,6.55,9.68,0.06
195,44.58,31.56,13.00,10.73,14.50,2.90,4.30,2.48,5.20,10.25,-0.10
196,46.41,32.71,13.99,11.17,15.47,2.84,4.74,3.16,5.37,9.71,-0.05
197,48.53,33.64,12.92,10.91,16.19,3.20,4.98,2.05,5.76,11.46,0.07
198,49.83,35.46,13.95,12.26,16.93,2.28,5.21,2.77,6.28,11.23,-0.78
199,51.14,35.93,14.58,13.05,17.15,4.30,4.70,3.24,6.80,12.44,-0.33
200,54.49,38.19,14.92,12.37,17.81,3.62,5.04,2.87,6.89,12.40,-0.71
201,55.89,39.04,15.86,13.35,18.53,3.49,4.43,2.87,7.08,13.55,-0.74
202,57.04,39.66,16.41,13.87,18.92,2.79,5.37,3.43,6.61,14.23,-1.12
203,58.10,40.88,16.91,13.83,19.79,3.82,5.46,3.05,7.68,13.42,-1.76
204,59.93,41.93,16.76,14.90,19.39,4.01,5.13,3.72,8.68,14.02,-0.45
205,60.86,43.18,17.71,13.79,20.70,3.68,5.39,3.22,7.98,15.03,-0.19
206,62.92,44.39,18.09,14.46,21.14,3.82,6.08,3.33,7.65,14.38,-0.86
207,64.11,44.49,19.07,15.89,21.35,3.78,6.11,2.63,8.70,14.14,-0.53
208,64.62,45.76,18.87,15.83,21.91,5.59,5.76,3.18,7.86,15.26,-0.68
209,66.61,45.67,19.09,15.57,22.64,4.13,5.36,4.34,7.83,15.35,-0.95
210,66.95,46.56,19.37,16.63,22.78,4.47,5.58,4.47,8.50,15.91,-1.42
211,67.95,47.42,19.21,16.60,23.30,3.55,7.17,3.71,7.72,15.58,-0.32
212,69.65,48.64,19.17,16.78,23.12,4.46,6.21,3.73,8.55,16.39,-1.30
213,69.03,48.25,20.66,17.05,23.37,3.69,6.37,3.95,9.01,15.53,-1.18
214,70.29,49.17,19.67,16.53,23.63,5.36,5.66,3.82,9.32,17.08,-1.70
215,69.59,48.99,19.52,15.85,23.70,4.99,7.15,4.05,8.15,16.76,-0.78
216,69.79,49.66,19.11,16.92,23.33,3.76,6.26,3.88,7.91,16.19,-1.22
217,69.71,48.30,19.16,16.19,23.47,4.73,6.48,2.81,9.42,16.63,-0.54
218,70.37,48.42,19.50,16.84,22.55,4.60,6.63,3.88,9.26,15.73,-1.13
219,68.77,48.68,20.78,17.11,23.68,4.47,6.64,4.38,8.41,16.30,-1.07
220,68.11,47.62,19.22,16.48,22.44,4.61,6.74,4.62,9.11,16.03,-1.37
221,67.03,48.93,18.39,15.96,23.13,5.13,6.25,4.19,8.53,16.27,-1.19
222,67.90,47.21,17.94,16.84,22.49,3.84,6.33,4.19,8.53,15.25,-0.60
223,66.03,46.19,19.34,15.42,21.96,3.91,6.22,3.00,7.98,14.85,-0.87
224,64.96,46.51,18.64,15.76,21.97,3.66,5.48,4.00,8.40,16.34,-1.16
