time,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11
187,34.15,23.04,9.32,8.11,11.34,1.90,3.23,1.36,3.22,7.46,-0.49
188,34.95,23.97,9.72,8.62,11.49,1.01,3.51,2.96,4.13,8.36,-0.78
189,36.24,25.38,10.21,7.71,12.34,2.37,1.97,2.01,4.61,7.90,-0.30
190,37.88,26.16,10.34,8.99,12.71,2.38,3.26,2.26,4.67,8.74,-0.11
191,38.54,26.95,11.36,9.20,13.46,2.42,3.40,2.29,5.09,8.75,-0.10
192,39.43,28.83,11.39,9.89,13.20,2.58,4.10,2.80,4.69,8.77,-0.76
193,41.50,28.63,12.25,9.73,13.13,1.95,3.46,2.83,5.59,8.36,0.06
194,42.79,30.64,12.12,10.23,14.69,3.80,3.75,1.51,5.42,9.57,-0.54
195,44.08,31.86,12.89,11.01,14.37,2.91,4.16,1.82,5.11,11.15,-0.84
196,46.72,32.78,13.83,11.52,15.95,2.76,4.02,2.35,5.62,10.83,-0.68
197,48.31,33.62,13.38,12.31,16.74,3.33,4.58,3.02,6.19,11.08,0.25
198,51.02,34.55,14.39,12.29,16.83,3.28,5.75,3.36,6.62,12.32,-0.83
199,51.78,35.97,14.86,11.96,17.36,3.79,4.85,3.24,5.97,11.70,-0.55
200,55.07,37.25,15.72,12.66,17.75,4.22,4.36,2.64,6.33,12.34,-0.61
201,55.15,38.01,16.04,13.35,18.43,4.43,4.67,2.87,7.10,13.10,-1.07
202,56.80,39.80,16.32,13.31,18.66,4.00,5.33,3.36,7.70,12.78,-1.06
203,59.11,41.41,16.20,14.44,19.19,3.98,5.80,2.86,6.84,13.43,-0.06
204,60.19,42.63,17.73,14.47,20.10,4.62,5.20,3.24,7.77,14.57,-1.64
205,61.45,42.93,18.16,14.75,20.46,3.19,5.56,2.70,7.50,14.93,0.78
206,62.82,44.27,17.59,15.45,20.67,5.14,5.58,4.07,8.60,14.23,-0.79
207,63.53,44.85,17.82,14.86,21.12,3.40,5.85,4.48,6.93,15.39,-1.19
208,64.82,45.82,18.06,16.11,22.03,3.65,6.13,3.69,7.86,14.31,-0.85
209,65.76,46.57,18.66,15.92,22.62,4.02,5.60,4.31,9.06,15.14,-0.04
210,67.40,47.94,19.40,15.38,22.41,3.85,6.09,4.03,8.75,15.47,-0.62
211,67.64,47.52,19.21,15.65,22.96,4.49,6.83,3.90,9.41,15.12,-0.78
212,68.86,47.37,18.93,16.76,23.10,4.98,6.74,4.56,8.56,15.89,-1.32
213,70.25,48.24,19.56,16.33,23.72,4.85,7.13,4.01,9.01,16.80,-0.86
214,69.54,48.40,21.02,16.81,23.48,5.34,5.97,4.33,8.12,15.84,-2.12
