,N9,N3,N5,N7
572,0.25,0.04,0.04,0.04
573,0.25,0.04,0.04,0.04
574,0.25,0.04,0.04,0.04
575,0.25,0.04,0.04,0.04
576,0.25,0.04,0.04,0.04
577,0.25,0.04,0.04,0.04
578,0.25,0.04,0.04,0.04
579,0.25,0.04,0.04,0.04
580,0.25,0.04,0.04,0.04
581,0.25,0.04,0.04,0.04
582,0.25,0.04,0.04,0.04
583,0.25,0.04,0.04,0.04
584,0.25,0.04,0.04,0.04
585,0.25,0.04,0.04,0.04
586,0.25,0.04,0.04,0.04
587,0.25,0.04,0.04,0.04
588,0.25,0.04,0.04,0.04
589,0.25,0.04,0.04,0.04
590,0.25,0.04,0.04,0.04
591,0.25,0.04,0.04,0.04
592,0.25,0.04,0.04,0.04
593,0.25,0.04,0.04,0.04
594,0.25,0.04,0.04,0.04
595,0.25,0.04,0.04,0.04
596,0.25,0.04,0.04,0.04
597,0.25,0.04,0.04,0.04
598,0.25,0.04,0.04,0.04
599,0.25,0.04,0.04,0.04
600,0.25,0.04,0.04,0.04
601,0.25,0.04,0.04,0.04
602,0.25,0.04,0.04,0.04
603,0.25,0.04,0.04,0.04
604,0.25,0.04,0.04,0.04
605,0.25,0.04,0.04,0.04
606,0.25,0.04,0.04,0.04
607,0.25,0.04,0.04,0.04
608,0.25,0.04,0.04,0.04
609,0.25,0.04,0.04,0.04
610,0.25,0.04,0.04,0.04
611,0.25,0.04,0.04,0.04
612,0.25,0.04,0.04,0.04
613,0.25,0.04,0.04,0.04
614,0.25,0.04,0.04,0.04
615,0.25,0.04,0.04,0.04
616,0.25,0.04,0.04,0.04
617,0.25,0.04,0.04,0.04
618,0.25,0.04,0.04,0.04
619,0.25,0.04,0.04,0.04
620,0.25,0.04,0.04,0.04
621,0.25,0.04,0.04,0.04
622,0.25,0.04,0.04,0.04
623,0.25,0.04,0.04,0.04
624,0.25,0.04,0.04,0.04
625,0.25,0.04,0.04,0.04
626,0.25,0.04,0.04,0.04
627,0.25,0.04,0.04,0.04
628,0.25,0.04,0.04,0.04
629,0.25,0.04,0.04,0.04
630,0.25,0.04,0.04,0.04
631,0.25,0.04,0.04,0.04
632,0.25,0.04,0.04,0.04
633,0.25,0.04,0.04,0.04
634,0.25,0.04,0.04,0.04
635,0.25,0.04,0.04,0.04
636,0.25,0.04,0.04,0.04
637,0.25,0.04,0.04,0.04
638,0.25,0.04,0.04,0.04
639,0.25,0.04,0.04,0.04
640,0.25,0.04,0.04,0.04
641,0.25,0.04,0.04,0.04
642,0.25,0.04,0.04,0.04
643,0.25,0.04,0.04,0.04
644,0.25,0.04,0.04,0.04
645,0.25,0.04,0.04,0.04
646,0.25,0.04,0.04,0.04
647,0.25,0.04,0.04,0.04
648,0.25,0.04,0.04,0.04
649,0.25,0.04,0.04,0.04
650,0.25,0.04,0.04,0.04
651,0.25,0.04,0.04,0.04
652,0.25,0.04,0.04,0.04
653,0.25,0.04,0.04,0.04
654,0.25,0.04,0.04,0.04
655,0.25,0.04,0.04,0.04
656,0.25,0.04,0.04,0.04
657,0.25,0.04,0.04,0.04
658,0.25,0.04,0.04,0.04
659,0.25,0.04,0.04,0.04
660,0.25,0.04,0.04,0.04
661,0.25,0.04,0.04,0.04
662,0.25,0.04,0.04,0.04
663,0.25,0.04,0.04,0.04
664,0.25,0.04,0.04,0.04
665,0.25,0.04,0.04,0.04
666,0.25,0.04,0.04,0.04
667,0.25,0.04,0.04,0.04
668,0.25,0.04,0.04,0.04
669,0.25,0.04,0.04,0.04
670,0.25,0.04,0.04,0.04
671,0.25,0.04,0.04,0.04
672,0.25,0.04,0.04,0.04
673,0.25,0.04,0.04,0.04
674,0.25,0.04,0.04,0.04
675,0.25,0.04,0.04,0.04
676,0.25,0.04,0.04,0.04
677,0.25,0.04,0.04,0.04
678,0.25,0.04,0.04,0.04
679,0.25,0.04,0.04,0.04
680,0.25,0.04,0.04,0.04
681,0.25,0.04,0.04,0.04
682,0.25,0.04,0.04,0.04
683,0.25,0.04,0.04,0.04
684,0.25,0.04,0.04,0.04
685,0.25,0.04,0.04,0.04
686,0.25,0.04,0.04,0.04
687,0.25,0.04,0.04,0.04
688,0.25,0.04,0.04,0.04
689,0.25,0.04,0.04,0.04
690,0.25,0.04,0.04,0.04
691,0.25,0.04,0.04,0.04
692,0.25,0.04,0.04,0.04
693,0.25,0.04,0.04,0.04
694,0.25,0.04,0.04,0.04
695,0.25,0.04,0.04,0.04
696,0.25,0.04,0.04,0.04
697,0.25,0.04,0.04,0.04
698,0.25,0.04,0.04,0.04
699,0.25,0.04,0.04,0.04
700,0.25,0.04,0.04,0.04
701,0.25,0.04,0.04,0.04
702,0.25,0.04,0.04,0.04
703,0.25,0.04,0.04,0.04
704,0.25,0.04,0.04,0.04
705,0.25,0.04,0.04,0.04
706,0.25,0.04,0.04,0.04
707,0.25,0.04,0.04,0.04
708,0.25,0.04,0.04,0.04
709,0.25,0.04,0.04,0.04
710,0.25,0.04,0.04,0.04
711,0.25,0.04,0.04,0.04
712,0.25,0.04,0.04,0.04
713,0.25,0.04,0.04,0.04
714,0.25,0.04,0.04,0.04
715,0.25,0.04,0.04,0.04
716,0.25,0.04,0.04,0.04
717,0.25,0.04,0.04,0.04
718,0.25,0.04,0.04,0.04
719,0.25,0.04,0.04,0.04
720,0.25,0.04,0.04,0.04
721,0.25,0.04,0.04,0.04
722,0.25,0.04,0.04,0.04
723,0.25,0.04,0.04,0.04
724,0.25,0.04,0.04,0.04
725,0.25,0.04,0.04,0.04
726,0.25,0.04,0.04,0.04
727,0.25,0.04,0.04,0.04
728,0.25,0.04,0.04,0.04
729,0.25,0.04,0.04,0.04
730,0.25,0.04,0.04,0.04
731,0.25,0.04,0.04,0.04
732,0.25,0.04,0.04,0.04
733,0.25,0.04,0.04,0.04
734,0.25,0.04,0.04,0.04
735,0.25,0.04,0.04,0.04
736,0.25,0.04,0.04,0.04
737,0.25,0.04,0.04,0.04
738,0.25,0.04,0.04,0.04
739,0.25,0.04,0.04,0.04
740,0.25,0.04,0.04,0.04
741,0.25,0.04,0.04,0.04
742,0.25,0.04,0.04,0.04
743,0.25,0.04,0.04,0.04
744,0.25,0.04,0.04,0.04
745,0.25,0.04,0.04,0.04
746,0.25,0.04,0.04,0.04
747,0.25,0.04,0.04,0.04
748,0.25,0.04,0.04,0.04
749,0.25,0.04,0.04,0.04
750,0.25,0.04,0.04,0.04
751,0.25,0.04,0.04,0.04
752,0.25,0.04,0.04,0.04
753,0.25,0.04,0.04,0.04
754,0.25,0.04,0.04,0.04
755,0.25,0.04,0.04,0.04
756,0.25,0.04,0.04,0.04
757,0.25,0.04,0.04,0.04
758,0.25,0.04,0.04,0.04
759,0.25,0.04,0.04,0.04
760,0.25,0.04,0.04,0.04
761,0.25,0.04,0.04,0.04
762,0.25,0.04,0.04,0.04
763,0.25,0.04,0.04,0.04
764,0.25,0.04,0.04,0.04
765,0.25,0.04,0.04,0.04
766,0.25,0.04,0.04,0.04
767,0.25,0.04,0.04,0.04
768,0.25,0.04,0.04,0.04
769,0.25,0.04,0.04,0.04
770,0.25,0.04,0.04,0.04
771,0.25,0.04,0.04,0.04
772,0.25,0.04,0.04,0.04
773,0.25,0.04,0.04,0.04
